ticket_id,date,channel,plan_name,customer_question,agent_answer,query_type,satisfaction_rating,escalated,resolution
TKT-2024-001,2024-01-08,WhatsApp,Star Comprehensive Individual,Is my knee replacement surgery covered?,"Yes, knee replacement is covered. However there is a 2-year waiting period for joint replacement surgeries from your policy start date. Please check your policy schedule for your exact start date.",factual,4/5,No,Resolved
TKT-2024-002,2024-01-09,Call,Star Comprehensive Individual,My father is 68 years old. Can I add him to my family floater?,Members above 65 years cannot be added to a standard family floater. Your father would need a separate senior citizen plan. We recommend our Star Senior Citizen Red Carpet plan.,eligibility,3/5,No,Resolved
TKT-2024-003,2024-01-10,Email,HDFC Optima Restore,What is the room rent limit in my policy?,"Under your HDFC Optima Restore plan with sum insured of Rs 5 lakhs, room rent is covered at actuals - there is no room rent sub-limit. This is one of the key benefits of the Optima Restore plan.",factual,5/5,No,Resolved
TKT-2024-004,2024-01-11,Call,Star Comprehensive Individual,My claim was rejected saying pre existing condition. I never had this disease before.,We understand your concern. Please obtain a letter from your treating doctor confirming the condition was not pre-existing. Submit this along with a formal appeal to grievance@starhealth.in within 15 days of rejection.,claims_process,2/5,Yes,Escalated
TKT-2024-005,2024-01-12,WhatsApp,Bajaj Health Guard,Is LASIK eye surgery covered?,LASIK surgery for correction of refractive errors is considered an elective cosmetic procedure and is excluded from coverage under your Health Guard plan. Emergency eye surgeries due to injury or disease are covered.,factual,4/5,No,Resolved
TKT-2024-006,2024-01-13,Call,Star Comprehensive Individual,I got admitted to hospital for 3 days. Paid Rs 85000 from my pocket. How do I get reimbursement?,"To file a reimbursement claim, collect original discharge summary, all bills and receipts, diagnostic reports, and doctors prescription. Submit within 30 days of discharge via our website or nearest branch. Processing takes 15 working days.",claims_process,5/5,No,Resolved
TKT-2024-007,2024-01-14,Email,HDFC Optima Restore,"Between Optima Restore and Star Comprehensive, which covers OPD better?",HDFC Optima Restore includes OPD coverage up to Rs 10000 per year for consultations and medicines. Star Comprehensive offers OPD up to Rs 5000. Both are at network clinics. Optima Restore has better OPD coverage.,comparison,4/5,No,Resolved
TKT-2024-008,2024-01-15,Call,Star Comprehensive Individual,I have diabetes since 5 years. My policy is 3.5 years old. Is diabetes treatment covered now?,"Pre-existing conditions like diabetes have a 3-year waiting period from policy start date. Since your policy is 3.5 years old, diabetes treatment is now covered under your plan. Please carry your policy card and inform the hospital at admission.",multi_hop,5/5,No,Resolved
TKT-2024-009,2024-01-16,WhatsApp,Star Comprehensive Individual,Is mental health treatment covered? Like therapy and psychiatrist?,"Yes. Since September 2022, IRDAI mandates all health plans cover mental health on par with physical health. Psychiatric hospitalization is covered fully. OPD psychiatrist consultations are covered up to Rs 5000 per year under your OPD benefit.",factual,5/5,No,Resolved
TKT-2024-010,2024-01-17,Call,Star Comprehensive Individual,My total hospital bill is Rs 1.4 lakhs. Room rent was Rs 6000 per day for 5 days. My limit is Rs 3000 per day. How much will I get?,"Room rent covered: Rs 3000 x 5 = Rs 15000 (out of Rs 30000 charged). Remaining bill Rs 1,10,000 covered fully. Total insurance pays approximately Rs 1,25,000. You pay Rs 15,000 excess room rent. Collect all original bills for reimbursement.",calculation,4/5,No,Resolved
TKT-2024-011,2024-01-18,Email,HDFC Optima Restore,What surgeries are not covered in my plan?,"Major exclusions include cosmetic surgeries like rhinoplasty and liposuction, experimental treatments, weight loss surgeries unless medically necessary, self-inflicted injuries, and dental procedures unless caused by accident. Full exclusion list is in Section 5 of your policy document.",negation,4/5,No,Resolved
TKT-2024-012,2024-01-19,Call,Star Senior Citizen,My mother is 72 years old. She has cataract in both eyes. Surgery is recommended. Will it be covered?,"Cataract surgery is a Day Care procedure covered under your Star Senior Citizen plan. The sub-limit for cataract is Rs 40000 per eye per year. Since your mother has been covered for more than 1 year, the waiting period is over. Pre-authorization required 48 hours before surgery.",eligibility,5/5,No,Resolved
TKT-2024-013,2024-01-20,WhatsApp,Bajaj Health Guard,How do I add my newborn baby to my policy?,Congratulations! You can add your newborn within 90 days of birth without any waiting period. Call our customer care or visit our website. Premium will be added proportionately for the remaining policy year. The baby will be covered from day of birth.,claims_process,5/5,No,Resolved
TKT-2024-014,2024-01-21,Call,Star Comprehensive Individual,I was in a road accident. My car insurance is separate. Can I claim medical expenses from health insurance?,Yes. Your Star Comprehensive health plan covers hospitalization due to accidents regardless of whether you have motor insurance. Both can be claimed separately. Your health insurance covers your medical bills. Motor insurance covers vehicle repair and third-party liability.,factual,5/5,No,Resolved
TKT-2024-015,2024-01-22,Email,HDFC Optima Restore,Which hospitals in Pune are in your cashless network?,"Network hospitals in Pune include Ruby Hall Clinic (020-66455000), Jupiter Hospital (020-66706000), Jehangir Hospital (020-66814444), Sahyadri Hospital (020-67213000), and Noble Hospital (020-26760000). For complete updated list visit hdfc-ergo.com/network-hospitals.",factual,4/5,No,Resolved
TKT-2024-016,2024-01-23,Call,Star Comprehensive Individual,What is the no claim bonus in my policy?,"Under Star Comprehensive, if you do not make any claim in a policy year, your sum insured increases by 10% at renewal at no extra premium. Maximum accumulation is 50% of original sum insured. If a claim is made, the accumulated bonus returns to base.",factual,5/5,No,Resolved
TKT-2024-017,2024-01-24,WhatsApp,Bajaj Health Guard Family,My wife is pregnant. What maternity expenses are covered?,Your Bajaj Health Guard Family plan covers maternity expenses including normal delivery up to Rs 25000 and cesarean delivery up to Rs 40000 after a waiting period of 2 years from policy start. Pre and post natal expenses up to Rs 5000 included. Newborn baby covered from day 1.,eligibility,5/5,No,Resolved
TKT-2024-018,2024-01-25,Call,Star Comprehensive Individual,I want to renew my policy but can I switch to HDFC Ergo without losing my waiting period benefits?,"Yes. Under IRDAI portability guidelines, you can port your policy to any insurer at renewal. Your accumulated waiting period credits transfer to the new insurer. Apply for portability at least 45 days before renewal date. The new insurer cannot deny porting or impose fresh waiting periods for already covered conditions.",multi_hop,5/5,No,Resolved
TKT-2024-019,2024-01-26,Email,HDFC Optima Restore,Does my policy cover treatment outside India?,HDFC Optima Restore is valid only in India. It does not cover treatment abroad. For international coverage you need a separate travel insurance policy. We recommend HDFC Ergo Travel Insurance for trips abroad.,factual,4/5,No,Resolved
TKT-2024-020,2024-01-27,Call,Star Comprehensive Individual,I have high BP and my doctor wants to do angioplasty next month. My policy is 14 months old. Will it be covered?,"Angioplasty is covered under your plan. However, hypertension is a pre-existing condition with a 3-year waiting period. Since your policy is only 14 months old, angioplasty caused by or related to hypertension may not be covered yet. If the angioplasty is due to a new coronary artery condition unrelated to hypertension, coverage may apply. Please submit all medical records for review before the procedure.",multi_hop,3/5,Yes,Escalated
